1536
(-0.000000, 0.687500, 0.361580) (-0.000000, 0.625000, 0.361580) (0.000000, 0.000000) 
(-0.000000, 0.687500, 0.361580) (-0.000000, 0.625000, 0.361580) (0.000000, 0.000000) 
(0.062500, 0.625000, 0.384628) (-0.000000, 0.625000, 0.384628) (0.000000, 0.000000) 
(0.062500, 0.687500, 0.353338) (-0.000000, 0.625000, 0.353338) (0.000000, 0.000000) 
(-0.000000, 0.687500, 0.361580) (-0.000000, 0.687500, 0.361580) (0.000000, 0.000000) 
(0.062500, 0.687500, 0.353338) (-0.000000, 0.687500, 0.353338) (0.000000, 0.000000) 
(-0.000000, 0.750000, 0.339527) (-0.000000, 0.687500, 0.339527) (0.000000, 0.000000) 
(-0.000000, 0.750000, 0.339527) (-0.000000, 0.687500, 0.339527) (0.000000, 0.000000) 
(0.062500, 0.687500, 0.353338) (-0.000000, 0.687500, 0.353338) (0.000000, 0.000000) 
(0.062500, 0.750000, 0.330322) (-0.000000, 0.687500, 0.330322) (0.000000, 0.000000) 
(-0.000000, 0.750000, 0.339527) (-0.000000, 0.750000, 0.339527) (0.000000, 0.000000) 
(0.062500, 0.750000, 0.330322) (-0.000000, 0.750000, 0.330322) (0.000000, 0.000000) 
(-0.000000, 0.812500, 0.320268) (-0.000000, 0.750000, 0.320268) (0.000000, 0.000000) 
(-0.000000, 0.812500, 0.320268) (-0.000000, 0.750000, 0.320268) (0.000000, 0.000000) 
(0.062500, 0.750000, 0.330322) (-0.000000, 0.750000, 0.330322) (0.000000, 0.000000) 
(0.062500, 0.812500, 0.311138) (-0.000000, 0.750000, 0.311138) (0.000000, 0.000000) 
(-0.000000, 0.812500, 0.320268) (-0.000000, 0.812500, 0.320268) (0.000000, 0.000000) 
(0.062500, 0.812500, 0.311138) (-0.000000, 0.812500, 0.311138) (0.000000, 0.000000) 
(-0.000000, 0.875000, 0.302575) (-0.000000, 0.812500, 0.302575) (0.000000, 0.000000) 
(-0.000000, 0.875000, 0.302575) (-0.000000, 0.812500, 0.302575) (0.000000, 0.000000) 
(0.062500, 0.812500, 0.311138) (-0.000000, 0.812500, 0.311138) (0.000000, 0.000000) 
(0.062500, 0.875000, 0.293835) (-0.000000, 0.812500, 0.293835) (0.000000, 0.000000) 
(-0.000000, 0.875000, 0.302575) (-0.000000, 0.875000, 0.302575) (0.000000, 0.000000) 
(0.062500, 0.875000, 0.293835) (-0.000000, 0.875000, 0.293835) (0.000000, 0.000000) 
(-0.000000, 0.937500, 0.285987) (-0.000000, 0.875000, 0.285987) (0.000000, 0.000000) 
